Tm,#Bat,BatAge,wins,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,old_team,winning_team
BAL,48,27.9,81,4.4,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,0.25,0.307,0.421,0.728,96,2307,127,51,20,32,23,990,FALSE,FALSE
BOS,51,28.3,78,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,0.265,0.325,0.415,0.74,98,2338,127,46,30,42,28,1142,FALSE,FALSE
CHW,40,28.2,76,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.686,91,2103,125,65,30,37,22,1065,FALSE,FALSE
CLE,49,27.9,81,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,0.256,0.325,0.401,0.725,94,2179,134,39,47,50,34,1147,FALSE,FALSE
DET,47,28.3,74,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,0.27,0.328,0.42,0.748,106,2355,152,41,23,35,36,1111,FALSE,FALSE
HOU,46,26.6,86,4.5,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,0.25,0.315,0.437,0.752,105,2383,102,56,28,43,22,1036,FALSE,TRUE
KCR,46,29.2,95,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,0.269,0.322,0.412,0.734,98,2298,133,77,34,47,28,1079,TRUE,TRUE
LAA,51,28.7,85,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,0.246,0.307,0.396,0.702,97,2144,116,58,37,40,34,1013,TRUE,TRUE
MIN,44,28.3,83,4.3,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,0.247,0.305,0.399,0.704,90,2182,133,40,30,41,31,993,FALSE,TRUE
NYY,56,31.1,87,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,105,2343,105,63,24,54,23,1151,TRUE,TRUE
OAK,52,27.9,68,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,0.251,0.312,0.395,0.707,94,2212,124,40,14,38,21,1102,FALSE,FALSE
SEA,51,28.6,76,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,0.249,0.311,0.411,0.722,102,2279,123,36,38,35,31,1080,TRUE,FALSE
TBR,51,28.4,80,3.98,162,6071,5485,644,1383,278,32,167,612,87,45,436,1310,0.252,0.314,0.406,0.72,99,2226,121,84,19,47,22,1075,TRUE,FALSE
TEX,57,28.6,88,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,0.257,0.325,0.413,0.739,98,2278,99,76,43,54,32,1130,TRUE,TRUE
TOR,52,29.4,93,5.5,162,6232,5509,891,1480,308,17,232,852,88,23,570,1151,0.269,0.34,0.457,0.797,118,2518,140,54,36,62,12,1057,TRUE,TRUE
